"TransportationMode" "ClassOfWorker" "Sex" "MaritalStatus" "HealthInsurance" "EducationLevel" "HomeOffice" "AgeBracket" "OccupationType" "RelativeIncome" "Tract" "CommuteTime"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Very Low" "Census Tract 29.26, Santa Barbara County, California" "No"
"Driving" NA "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Rather High" "Census Tract 15, Santa Barbara County, California" "No"
"Driving" NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Rather High" "Census Tract 15, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "Master" "Not Home Office" "18-29" "Education" "Somewhere In The Middle" "Census Tract 29.30, Santa Barbara County, California" "No"
"Driving" NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" "Census Tract 29.26, Santa Barbara County, California" "No"
"Home Office" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Home Office" "40-49" "Higher Management" "Somewhere In The Middle" "Census Tract 4, Santa Barbara County, California" "Yes"
"Home Office" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Home Office" "60+" "Higher Management" "Somewhere In The Middle" "Census Tract 13.06, Santa Barbara County, California" "Yes"
"Driving" NA "Male" "Separated, Divorced, Widowed" "Health Insurance" "No Education" "Not Home Office" "40-49" NA "Very Low" "Census Tract 29.26, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Education" "Somewhere In The Middle" "Census Tract 29.13, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Business Development" "Somewhere In The Middle" "Census Tract 29.14, Santa Barbara County, California" "No"
"Home Office" "Employee" "Male" "Married" "Health Insurance" "No Education" "Home Office" "50-59" "Other" "Rather Low" "Census Tract 29.15, Santa Barbara County, California" "Yes"
"Driving" NA "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" "Census Tract 29.26, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 29.26, Santa Barbara County, California" "No"
"Driving" NA "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Rather High" "Census Tract 1.03, Santa Barbara County, California" "No"
"Driving" NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Rather High" "Census Tract 1.03, Santa Barbara County, California" "No"
"Driving" NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "50-59" NA "Very Low" "Census Tract 29.26, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 29.26, Santa Barbara County, California" "No"
"Driving" NA "Male" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Rather High" "Census Tract 30.07, Santa Barbara County, California" "No"
"Driving" NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Rather Low" "Census Tract 29.28, Santa Barbara County, California" "No"
"Driving" "Freelancer" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Writing" "Somewhere In The Middle" "Census Tract 5.02, Santa Barbara County, California" "No"
"Driving" NA "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Rather Low" "Census Tract 29.28, Santa Barbara County, California" "No"
