"","JWTR","JWAP","AGEP","COW","OCCP","SEX","MAR","HICOV","SCHL","PINCP","ADJINC","PUMA"
"52",1,96,69,6,6200,1,1,1,22,86500,1007588,11106
"53",11,NA,61,1,5860,2,1,1,21,15600,1007588,11106
"54",1,96,26,1,6420,1,5,2,19,3600,1007588,11106
"236",10,198,37,1,1550,2,5,1,22,32000,1007588,8303
"309",1,100,55,1,6440,1,1,1,6,79000,1007588,11103
"310",1,83,51,1,5120,2,1,1,16,120000,1007588,11103
"311",1,90,31,1,3600,1,5,1,17,35000,1007588,11103
"312",NA,NA,28,1,4010,2,1,1,9,2000,1007588,11103
"313",1,100,24,1,4720,2,5,2,19,22000,1007588,11103
"314",NA,NA,13,NA,NA,1,5,1,9,NA,1007588,11103
"315",NA,NA,12,NA,NA,1,5,1,9,NA,1007588,11103
"316",NA,NA,9,NA,NA,2,5,2,4,NA,1007588,11103
"317",NA,NA,7,NA,NA,1,5,2,6,NA,1007588,11103
"318",NA,NA,7,NA,NA,1,5,2,3,NA,1007588,11103
"319",NA,NA,4,NA,NA,2,5,1,1,NA,1007588,11103
"320",NA,NA,4,NA,NA,2,5,1,1,NA,1007588,11103
"321",NA,NA,31,NA,NA,2,1,1,12,0,1007588,11103
"569",NA,NA,41,1,8220,1,5,1,20,0,1007588,8303
"717",1,92,48,6,2100,2,3,1,23,349000,1007588,11106
"718",NA,NA,12,NA,NA,2,5,1,9,NA,1007588,11106
"719",NA,NA,18,NA,NA,1,5,1,14,0,1007588,11106
"720",NA,NA,50,1,2100,1,3,1,24,40000,1007588,11106
"730",9,164,20,1,1965,1,5,1,19,1600,1007588,8303
"731",9,113,20,1,1965,2,5,1,19,5000,1007588,8303
"806",NA,NA,73,NA,NA,1,1,1,21,333000,1007588,8303
"807",NA,NA,73,NA,NA,2,1,1,21,308000,1007588,8303
"1603",1,80,26,4,2310,2,5,1,22,70000,1007588,8303
"1604",1,107,41,1,4850,1,5,1,21,42000,1007588,8303
"1921",NA,NA,18,NA,NA,2,5,1,18,0,1007588,8303
"1942",11,NA,46,2,420,1,1,1,21,72000,1007588,8303
"1943",11,NA,61,1,120,1,1,1,21,100000,1007588,8303
"2102",NA,NA,41,NA,NA,1,3,1,14,0,1007588,8303
"2238",NA,NA,43,3,2320,1,1,1,21,90000,1007588,8303
"2239",1,109,39,1,630,2,1,1,21,80000,1007588,8303
"2240",NA,NA,4,NA,NA,2,5,1,1,NA,1007588,8303
"2241",NA,NA,2,NA,NA,1,5,1,NA,NA,1007588,8303
"2693",11,NA,56,1,7750,1,1,1,15,40000,1007588,8303
"2694",2,91,54,1,4230,2,1,1,17,2000,1007588,8303
"2695",NA,NA,19,NA,NA,1,5,1,19,0,1007588,8303
"2696",1,91,18,1,4610,1,5,1,16,350,1007588,8303
"2830",2,100,59,6,800,2,3,1,21,27300,1007588,11106
"3146",NA,NA,83,NA,NA,1,1,1,19,135000,1007588,8303
"3147",NA,NA,80,NA,NA,2,1,1,16,135000,1007588,8303
"3148",9,102,58,1,4750,1,5,1,16,50000,1007588,8303
"3294",NA,NA,58,NA,NA,2,3,1,18,11500,1007588,8303
"3307",NA,NA,19,1,9620,1,5,1,19,5000,1007588,8303
"3376",NA,NA,73,NA,NA,1,2,1,23,121600,1007588,8303
"3377",NA,NA,79,NA,NA,2,2,1,21,29201,1007588,8303
"3448",NA,NA,64,6,2850,2,1,1,21,97100,1007588,8303
"3449",NA,NA,69,NA,NA,1,1,1,19,25000,1007588,8303
"3640",1,76,58,5,5550,1,5,1,20,66000,1007588,11103
"4281",NA,NA,87,NA,NA,1,1,1,21,55300,1007588,11106
"4282",NA,NA,84,NA,NA,2,1,1,20,65500,1007588,11106
"4620",NA,NA,26,NA,NA,2,1,1,18,0,1007588,8303
"4621",1,85,34,7,4700,1,1,1,19,130000,1007588,8303
"4622",NA,NA,6,NA,NA,1,5,1,3,NA,1007588,8303
"4623",NA,NA,5,NA,NA,1,5,1,1,NA,1007588,8303
"4624",NA,NA,3,NA,NA,1,5,1,1,NA,1007588,8303
"4625",NA,NA,1,NA,NA,1,5,1,NA,NA,1007588,8303
"4703",NA,NA,79,1,2840,2,2,1,21,128900,1007588,8303
"4832",NA,NA,52,NA,NA,2,5,1,21,16300,1007588,11106
"4833",NA,NA,15,NA,NA,2,5,1,12,8290,1007588,11106
"5185",NA,NA,43,NA,NA,2,5,1,19,26000,1007588,8303
"5186",NA,NA,10,NA,NA,2,5,1,6,NA,1007588,8303
"5303",NA,NA,78,1,1320,1,4,1,21,66000,1007588,11104
"5327",1,82,52,5,1530,1,1,1,21,129000,1007588,11106
"5328",1,77,53,1,4760,2,1,1,20,30000,1007588,11106
"5329",NA,NA,19,1,4850,2,5,1,19,1100,1007588,11106
"5330",NA,NA,16,NA,NA,1,5,1,13,0,1007588,11106
"5360",NA,NA,19,NA,NA,2,5,1,19,0,1007588,11106
"5416",1,95,49,3,2310,2,1,1,22,69200,1007588,8303
"5417",1,35,58,6,6100,1,1,1,16,80000,1007588,8303
"5418",NA,NA,9,NA,NA,2,5,1,6,NA,1007588,8303
"5654",1,84,63,1,6220,1,2,1,21,62000,1007588,8303
"5711",NA,NA,72,NA,NA,2,1,1,16,8500,1007588,8303
"5712",NA,NA,76,NA,NA,1,1,1,21,12000,1007588,8303
"5772",1,81,64,5,20,1,5,1,22,213000,1007588,11103
"5773",1,96,57,5,700,1,5,1,22,130000,1007588,11103
"5774",NA,NA,82,NA,NA,2,2,1,16,27600,1007588,11103
"5958",1,106,37,1,4010,1,1,1,21,45000,1007588,8303
"5959",1,105,28,1,310,2,1,1,21,44200,1007588,8303
"6056",NA,NA,77,1,430,1,1,1,22,218100,1007588,11106
"6057",NA,NA,71,NA,NA,2,1,1,19,20400,1007588,11106
"6332",1,100,27,1,4700,2,1,1,21,65000,1007588,11106
"6333",1,208,28,1,3400,1,1,1,21,35000,1007588,11106
"6334",1,96,59,1,1530,1,1,1,22,165000,1007588,11106
"6363",NA,NA,45,7,430,1,4,1,21,50,1007588,11106
"6394",11,NA,51,3,2200,2,3,1,24,71000,1007588,11106
"6616",1,56,43,1,8965,1,5,1,16,50000,1007588,11106
"6725",NA,NA,74,NA,NA,2,2,1,18,17500,1007588,8303
"6753",9,102,34,4,2200,1,1,1,24,101000,1007588,8303
"6754",NA,NA,34,2,2340,2,1,1,21,0,1007588,8303
"6755",NA,NA,3,NA,NA,1,5,1,1,NA,1007588,8303
"6839",1,97,44,6,3000,1,1,2,23,80000,1007588,11104
"6840",1,102,43,6,3260,2,1,2,24,90000,1007588,11104
"6841",NA,NA,20,1,6050,1,5,1,16,0,1007588,11104
"6842",NA,NA,16,NA,NA,2,5,1,13,0,1007588,11104
"6843",NA,NA,10,NA,NA,1,5,1,7,NA,1007588,11104
"6910",1,68,34,1,350,2,5,1,16,28000,1007588,11103
"6911",NA,NA,14,NA,NA,2,5,1,11,NA,1007588,11103
"6912",NA,NA,12,NA,NA,2,5,1,9,NA,1007588,11103
"6946",NA,NA,60,NA,NA,2,3,1,16,5000,1007588,8303
"7034",NA,NA,76,NA,NA,2,2,1,18,8700,1007588,11104
"7279",NA,NA,79,NA,NA,1,3,1,22,54900,1007588,11106
"7421",1,102,34,1,7700,1,1,1,19,55000,1007588,11103
"7422",NA,NA,33,1,5240,2,1,1,19,0,1007588,11103
"7423",NA,NA,2,NA,NA,1,5,1,NA,NA,1007588,11103
"7424",NA,NA,1,NA,NA,2,5,1,NA,NA,1007588,11103
"7659",1,117,56,6,4650,2,1,1,19,10100,1007588,11104
"7660",NA,NA,65,6,8320,1,1,1,16,10900,1007588,11104
"7661",NA,NA,24,1,4760,1,5,1,19,27500,1007588,11104
"7711",NA,NA,46,1,6050,2,1,1,1,26000,1007588,11103
"7712",1,76,53,1,6050,1,1,1,1,10000,1007588,11103
"7713",1,108,29,1,9640,1,5,2,16,18000,1007588,11103
"7714",1,116,24,1,4760,2,5,1,16,32000,1007588,11103
"7715",1,219,19,1,4430,2,5,1,16,6000,1007588,11103
"7716",NA,NA,4,NA,NA,2,5,1,1,NA,1007588,11103
"7821",NA,NA,66,NA,NA,1,1,1,9,7900,1007588,11103
"7822",NA,NA,66,NA,NA,2,1,1,8,17600,1007588,11103
"7823",1,99,34,1,3420,2,1,1,16,30000,1007588,11103
"7824",NA,NA,14,NA,NA,1,5,1,11,NA,1007588,11103
"7825",NA,NA,6,NA,NA,2,5,1,3,NA,1007588,11103
"7826",1,120,38,6,6440,1,1,1,16,13700,1007588,11103
"7886",NA,NA,69,NA,NA,2,3,1,17,9900,1007588,11106
"7890",NA,NA,87,NA,NA,1,2,1,18,21100,1007588,11103
"8091",1,61,55,1,7750,1,1,2,21,80000,1007588,11106
"8092",NA,NA,49,NA,NA,2,1,1,16,0,1007588,11106
"8093",10,134,21,1,4110,1,5,1,19,12000,1007588,11106
"8094",10,109,19,1,4020,1,5,1,16,18800,1007588,11106
"8193",NA,NA,65,5,430,2,1,1,19,54000,1007588,11106
"8194",NA,NA,69,5,1440,1,1,1,21,99800,1007588,11106
"8195",1,91,44,1,740,2,1,1,21,96000,1007588,11104
"8196",1,92,48,1,4850,1,1,1,21,95000,1007588,11104
