"","GoogleInput","GEOID","NAME","Population","moe","ALAND_SQMI","AWATER_SQMI","INTPTLAT","INTPTLONG","DrivingTime","BikingTime","TransitTime"
"1","33.2556547+-119.5035884","06111980000","Census Tract 9800, Ventura County, California",104,33,22.639,3.395,33.2556547,-119.5035884,NA,NA,NA
"2","33.5056+-119.117174","06083990000","Census Tract 9900, Santa Barbara County, California",0,12,0,928.812,33.5056,-119.117174,NA,NA,NA
"3","33.9511837+-120.0489534","06083980100","Census Tract 9801, Santa Barbara County, California",3,6,195.609,105.193,33.9511837,-120.0489534,NA,NA,NA
"4","33.9963493+-119.4202966","06111990100","Census Tract 9901, Ventura County, California",0,12,0,340.252,33.9963493,-119.4202966,NA,NA,NA
"5","34.0110019+-119.4256973","06111003612","Census Tract 36.12, Ventura County, California",4600,569,1.836,1.789,34.0110019,-119.4256973,NA,NA,NA
"6","34.1023158+-118.986805","06111007300","Census Tract 73, Ventura County, California",1846,181,55.258,1.012,34.1023158,-118.986805,3290,18449,NA
"7","34.1061405+-119.1160918","06111004600","Census Tract 46, Ventura County, California",2184,213,6.67,1.231,34.1061405,-119.1160918,NA,15305,NA
"8","34.1382089+-118.8460519","06111005907","Census Tract 59.07, Ventura County, California",3666,318,1.274,0.105,34.1382089,-118.8460519,3062,21267,NA
"9","34.140882+-119.1490764","06111004715","Census Tract 47.15, Ventura County, California",5331,364,9.669,0.214,34.140882,-119.1490764,2343,13931,NA
"10","34.1462926+-119.1937605","06111004400","Census Tract 44, Ventura County, California",7676,606,0.757,0.169,34.1462926,-119.1937605,2427,13045,13848
"11","34.1511164+-119.1821358","06111004506","Census Tract 45.06, Ventura County, California",7859,715,0.249,0,34.1511164,-119.1821358,2447,13154,14362
"12","34.1517695+-119.1735081","06111004503","Census Tract 45.03, Ventura County, California",4469,489,0.219,0,34.1517695,-119.1735081,2508,13336,13898
"13","34.1532461+-118.8608832","06111005906","Census Tract 59.06, Ventura County, California",6516,328,4.901,0.019,34.1532461,-118.8608832,3136,21289,NA
"14","34.1575595+-119.03913","06111005600","Census Tract 56, Ventura County, California",9691,685,40.094,0,34.1575595,-119.03913,2512,16057,9624
"15","34.1578571+-119.1820508","06111004505","Census Tract 45.05, Ventura County, California",2237,225,0.216,0,34.1578571,-119.1820508,2421,13017,13149
"16","34.1583225+-119.1719508","06111004504","Census Tract 45.04, Ventura County, California",5305,475,0.332,0,34.1583225,-119.1719508,2467,13190,13256
"17","34.1621779+-119.2067537","06111004305","Census Tract 43.05, Ventura County, California",2071,352,2.616,0.244,34.1621779,-119.2067537,2352,12481,14532
